All,Visi
"You saved the dynamic block.","Jūs saglabājāt dinamisko bloku."
"We cannot save the dynamic block.","Nevar saglabāt dinamisko bloku."
"Please enter a name.","Ievadiet nosaukumu."
"-- None --","-- Neviens --"
"Content Area","Satura apgabals"
Footer,Kājene
Header,Galvene
"Left Column","Kreisā kolonna"
"Right Column","Labā kolonna"
"Manage Dynamic Blocks","Parvaldīt dinamiskos blokus"
"Dynamic Blocks Rotator","Dinamisko bloku rotācija"
"Displays Specified or Promotion Dynamic Blocks","Parāda norādītos vai Atzīmētos Dinamiskos blokus"
"Dynamic Blocks to Display","Kurus Dinamiskos blokus rādīt"
"Specified Dynamic Blocks","Norādītie Dinamiskie bloki"
"Cart Price Rule Related","Saistīts ar Groza cenas noteikumiem"
"Catalog Price Rule Related","Kataloga cenu saistītie noteikumi"
"Restrict by Dynamic Block Types","Ierobežot pēc Dinamiskajiem blokiem"
"Rotation Mode","Rotācijas režīms"
"Display all instead of rotating","Rādīt visus nerotējot"
"One at the time, Random","Katrā reizē viens, Nejaušs"
"One at the time, Series","Katrā reizē viens, Grupas"
"One at the time, Shuffle","Katrā reizē viens, Sajauktā kārtībā"
"Specify Dynamic Blocks","Norā'dit Dinamiskos blokus"
"Dynamic Block Inline Template","Dinamisko Bloku Iekļautais Šablons"
Visibility,Redzamība
"All Segments","Visi segmenti"
"Customer Segment","Klientu segments"
"Allowed Credit Card Types","Atļautie kredītkaršu veidi"
"Add Rule","Pievienot noteikumu"
"Braintree Settlement Report","Braintree norēķinu atskaite"
"Sorry, but something went wrong","Atvainojiet, kļūda"
"We can't initialize checkout.","Nevar inicializēt pirkšanu."
"No authorization transaction to proceed capture.","Nav autorizācijas transakcijas lai turpinātu saņemšanu."
"Transaction is successful.","Transakcija ir veiksmīga."
"Braintree error response.","Braintree kļūdas atbilde."
"Payment method nonce can't be retrieved.","Nevar saņemt nekādu maksājuma veidu."
"Wrong transaction status","Nepareizs transakcijas statuss"
Authorize,Autorizēt
"Credit Card",Kredītkarte
ending,beigu
expires,"beigu termiņš"
"Please agree to all the terms and conditions before placing the order.","Lai veiktu pirkumu, jums jāpiekrīt visiem noteikumiem."
"Transaction was failed.","Transakcija nav izdevusies."
"Please, enter valid Credit Card Number","Ievadiet derīgu kredītkartes numuru"
"Please, enter valid Expiration Date","Ievadiet derīgu kartes derīguma termiņu"
"Please, enter valid Card Verification Number","Ievadiet derīgu kartesu pārbaudes numuru"
"Are you sure you want to delete this PayPal account","Vai tiešām vēlaties dzēst šo Paypal kontu"
"PayPal Account","Paypal konts"
"PayPal Logo","PayPal logo"
"Credit Card Information","Kredītkartes informācija"
"Save for later use.","Saglabāt turpmākai lietošanai."
"This payment is not available","Šis maksājums nav pieejams"
"Please try again with another form of payment.","Lūdzu, mēģiniet vēlreiz, izmantojot citu maksājuma veidu."
"Sorry, but something went wrong.","Atvainojiet, kļūda."
"Payment ","Maksājums "
"Credit card type is not accepted by this merchant account.","Pārdevēja kontā šī veida kredītkartes netiek pieņemtas."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transakcijas var anulēt tikai ja tās ir ar stutusu authorized, submitted_for_settlement, vai - priekš PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Kredīta transakcijas nevar tikt atgrieztas."
"Cannot refund a transaction unless it is settled.","Nevar atgriezt transakciju pirms tā ir saņemta."
"Cannot submit for settlement unless status is authorized.","Nevar nosūtīt saņemšanai ja statuss ir neatorizēts."
"Customer does not have any credit cards.","Klientam nav kredītkartes."
"Transaction has already been completely refunded.","Transakcija jau ir pilnībā atgriezta."
"Payment instrument type is not accepted by this merchant account.","Šis pārdevējs nepieņem šo maksājuma apstrādes veidu."
"Processor authorization code cannot be set unless for a voice authorization.","Procesora autorizācijas kodu nevar iestatīt, ja vien nav paredzēta balss atļauja."
"Refund amount is too large.","Atgriešanas summa ir par lielu."
"Settlement amount is too large.","Norēķina summa ir par lielu."
"Cannot provide a billing address unless also providing a credit card.","Nevar izmantot norēķinu adresi ja nav ievadīta kredītkarte."
"Cannot refund a transaction with a suspended merchant account.","Nevar atgriezt transakciju, ja nedarbojas pārdevēja konts."
"Merchant account does not support refunds.","Pārdevēja konts neatbalsta atmaksu."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Nevar atgriezt transakciju kura ir norēķinu statusā pārdevēja kontā. Mēģiniet vēlāk kad transakcija ir pabeigta."
"PayPal is not enabled for your merchant account.","Pārdevēja kontam nav ieslēgts PayPal."
"Partial settlements are not supported by this processor.","Šis procesors neatbalsta daļējus norēķinus."
"Cannot submit for partial settlement.","Nevar nosūtīt daļēju norēķināšanos."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transakciju nevar anulēt ja PayPal daļējs nākošais maksājums ir ar statusu settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Pārāk daudz pieslēgumu lai atgrieztu šo transakciju. Mēģiniet vēlāk."
"Too many concurrent attempts to void this transaction. Try again later.","Pārāk daudz pieslēgumu lai anulētu šo transakciju. Mēģiniet vēlāk."
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Pieņemt kredīt/debetkartes un PayPal šajā Magento veikalā.<br/> Nav uzstādīšanas vai mēneša maksas un klientiem nav jāpamet veikals lai veiktu pirkumu."
"Enable this Solution","Ieslēgt šo risinājumu"
"Enable PayPal through Braintree","Ieslēgt PayPal caur Braintree"
"Vault Enabled","Seifs ieslēgts"
"Basic Braintree Settings","Braintree pamatiestatījumi"
"Merchant ID","Tirgotāja ID"
"Public Key","Publiskā atslēga"
"Private Key","Privātā atslēga"
"Advanced Braintree Settings","Braintree papildus iestatījumi"
"Vault Title","Seifa nosaukums"
"Merchant Account ID","Tirgotāja konta ID"
"Advanced Fraud Protection","Papildus krāpšanās aizsardzība"
"Kount Merchant ID","Kount tirgotāja ID"
"CVV Verification","CVV pārbaude"
"Country Specific Settings","Valstij specifiski iestatījumi"
"Country Specific Credit Card Types","Valstij specifiski kredītkaršu veidi"
"PayPal through Braintree","PayPal caur Braintree"
"Override Merchant Name","Pārlabot tirgotāja nosaukumu"
"Require Customer's Billing Address","Pieprasīt klienta norēķinu adresi"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Atļaut labot PayPal iepirkšanās laikā ievadīto piegādes adresi"
"Display on Shopping Cart","Rādīt iepirkumu grozā"
"Skip Order Review","Izlaist pirkuma apskatīšanu"
"3D Secure Verification Settings","3D Secure verifikācijas iestatījumi"
"3D Secure Verification","3D Secure verifikācija"
"Threshold Amount","Sliekšņa summas"
"Verify for Applicable Countries","Pārbaudīt pieejamajām valstīm"
"Verify for Specific Countries","Pārbaudīt specifiskām valstīm"
"Dynamic Descriptors","Dinamiskie apraksti"
Phone,Telefons
"CVV is required.","CVV ir obligāts."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV kodam jābūt 4 cipariem American Express kartēm un 3 cipariem priekš pārējām kartēm."
"Expiration date is required.","Nepieciešams derīguma termiņš."
"Expiration date is invalid.","Nepareizs derīguma termiņš."
"Expiration year is invalid. It must be between 1975 and 2201.","Beigu gads nav derīgs. Tam jābūt no 1975 līdz 2201."
"Expiration month is invalid.","Nepareizs derīguma mēnesis."
"Expiration year is invalid.","Nepareizs derīguma gads."
"Credit card number is required.","Jānorāda kredītkartes numurs."
"Credit card number is invalid.","Nepareizs kredītkartes numurs."
"Credit card number must be 12-19 digits.","Kredītkartes numuram jābūt 12-19 cipariem garam."
"Cardholder name is too long.","Kartes īpašnieka vārds ir par garu."
"CVV verification failed.","CVV pārbaude neizdevās."
"Postal code verification failed.","Pasta indeksa pārbaude neizdevās."
"Credit card number is prohibited.","Kredītkartes numurs ir aizliegts."
"Addresses must have at least one field filled in.","Adresēm jābūt aizpildītam vismaz vienam laukam."
"Company is too long.","Kompānijas nosaukums ir par garu."
"Extended address is too long.","Paplašinātā adrese ir par garu."
"First name is too long.","Vārds ir pārāk garš."
"Last name is too long.","Uzvārds ir pārāk garš."
"Locality is too long.","Novads ir pārāk garš."
"Postal code is required.","Pasta indekss ir obligāts."
"Postal code may contain no more than 9 letter or number characters.","Pasta indekss nevar būt garāks par 9 simboliem."
"Region is too long.","Novads ir par garu."
"Street address is required.","Iela ir obligāts."
"Street address is too long.","Iela ir pārāk gara."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Pasta indekss var saturēt tikai burtus, ciparus, atstarpes un domu zīmes."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","ASV štatu kodiem jābūt 2 simboliem lai atbilstu PayPAL Pircēju aizsardzībai."
"Incomplete PayPal account information.","Nepilnīga PayPal konta informācija."
"Invalid PayPal account information.","Nepareiza PayPal konta informācija."
"PayPal Accounts are not accepted by this merchant account.","Šis pārdevējs nepieņem PayPal Accounts maksāumus."
"Billing address format is invalid.","Norēķinu adreses formāts ir nepareizs."
"Country name is not an accepted country.","Valsts nosaukums nav atļauts."
"Country code is not accepted. Please contact the store administrator.","Valsts kods nav derīgs. Sazinieties ar veikala administratoru."
"Provided country information is inconsistent.","Informācija par valsti ir nepietiekama."
"Customer has already reached the maximum of 50 addresses.","Klientan jau ir maksimālais adresu skaits - 50."
"Address is invalid. Please contact the store administrator.","Nepareiza adrese. Sazinieties ar veikala administratoru."
"Error communicating with PayPal.","Kļūda sazinoties ar PayPal."
"PayPal authentication expired.","PayPal autentifikācija beigusies."
"Error executing PayPal order.","Kļūda izpildot PayPal pasūtījumu."
"Error executing PayPal billing agreement.","Kļūda, izpildot PayPal norēķinu līgumu."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Izmantojiet filtrēšanu lai iegūtu rezultātus. Parādīti tiks pirmie 100 rezultāti, Jums ir iespēja lejupielādēt pilnu sarakstu .csv formātā."
Select...,Izvēlēties...
"Transaction Type","Transakcijas Tips"
"Payment Type","Maksājuma Veids"
"PayPal Payment ID","PayPal maksājuma ID"
"Created At",Izveidots
"Transaction ID","Transakcijas ID"
"Order ID","Pasūtījuma ID"
Amount,Skaits
"Settlement Code","Izpildes kods"
"Settlement Response Text","Izpildes atbildes tekstu"
"Refund Ids","Atmaksas Ids"
"Settlement Batch ID","Norēķinu partijas ID"
Month,Mēnesis
Year,Gads
"Stored Card","Saglabātā Karte"
"Credit card successfully added","Kredītkarte veiksmīgi pievienota"
"Something went wrong while saving the card.","Kļūda saglabājot kredītkarti."
"Credit card does not exist","Kredītkarte neeksistē"
"Delete Credit Card","Dzēst kredītkarti"
"There was error deleting the credit card","Kļūda dzēšot kredītkarti"
"Credit card successfully deleted","Kredītkarte nodzēsta"
"Edit Credit Card","Labot kredītkarti"
"My Credit Cards","Manas kredītkartes"
"New Credit Card","Jauna kredītkarte"
"There was error during saving card data","Kļūda saglabājot kredītkarti"
"We can't place the order.","Nevar izveidot pasūtījumu."
"Incorrect payment method.","Nepareizs apmaksas veids."
"We can't initialize checkout review.","Nevar inicializēt iepirkšanās atskaiti."
"We can't update shipping method.","Nevar atjaunot piegādes veidu."
"The processor declined your transaction, please re-enter your payment information","Procesors noraidīja transakciju, ievadiet vēlreiz maksājuma informāciju"
"Transaction declined by gateway: Check card details or try another card","Vārteja noraidīja transakciju: Pārbaudiet kartes informāciju vai pamēģiniet citu karti"
"Transaction declined: ","Transakcija noraidīta: "
"The processor responded with an unknown error","Procesors atbildēja ar nezināmu kļūdu"
"Credit card type is not allowed for your country.","Jūsu valstij šis kredītkartes veids nav atļauts."
"Credit card type is not allowed for this payment method.","Maksājuma veidam šis kredītkartes veids nav atļauts."
"Selected payment type is not allowed for billing country.","Izvēlētais maksājuma veids nav atļauts valstī no kuras ir maksātājs."
"Incomplete payment information.","Nepilnīga maksājuma informācija."
"Please try again later","Mēģiniet vēlāk"
"Can not find original authorization transaction for partial capture","Nevar atrast oriģinālo autorizācijas transakciju daļējai nolasīšanai"
"There was an error capturing the transaction: %1.","Kļūda nolasot transakciju: %1."
"This refund is for a partial amount but the Transaction has not settled.","Ši ir daļēja maksājuma atgriešana, transakcija nav apmaksāta."
"Please wait 24 hours before trying to issue a partial refund.","Lūdzu gaidiet 24 stundas pirms sākt daļējas atmaksas veikšanu."
"There was an error refunding the transaction: %1.","Kļūda atmaksājot transakciju: %1."
"Some transactions are already settled or voided and cannot be voided.","Atsevišķas transakcija ir pabeigtas vai anulētas un tās nevar anulēt."
"Voided capture.","Anulēta saņemšana."
"There was an error voiding the transaction: %1.","Kļūda anulējot transakciju: %1."
Invoice,Rēķins
Shipment,Piegāde
"Invalid Customer ID provided","Nepareizs klienta ID"
"some error","nenoteikta kļūda"
"Something went wrong while processing.","Kļūd apstrādājot."
error,kļūda
exception,izņēmums
"Payment Information","Norēķinu informācija"
"Add new card","Pievienot jaunu karti"
"Save this card for future use","Saglabāt karti lietošanai nākotnē"
or,vai
"Please confirm that you want to delete this credit card","Apstipriniet, ka vēlaties dzēst šo kredītkarti"
"Cardholder Name","Kartes īpašnieka vārds"
"* Required Fields","* obligātie lauki"
"Card Verification Number Visual Reference","Kredītkartes parbaudes koda vizuālā atsauce"
"Make Default","Uzstādīt kā noklusēto"
"Billing Address","Norēķinu Adrese"
Company,Kompānija
Address,Adrese
State/Province,Štats/Province
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Zip/Postal Code","Pasta indekss"
"Add Credit Card","Pievienot kredītkarti"
"Card Number","Kartes numurs"
"Is Default",Noklusētais
"An error occured with payment processing.","Kļūda apstrādājot maksājumu."
"Can not initialize PayPal (Braintree)","Nevar inicializēt PayPal (Braintree)"
"Capture action","Nolasīšanas darbība"
"Use Vault","Lietot Seifu"
"Allow Duplicate Cards","Atļaut Kartes Dublikātus"
"Enable Credit Card auto-detection on Storefront","Ieslēgt kredītkartes automātiksu noteikšanu"
"Your Kount ID","Jūsu Kount ID"
"Use Cache","Lietot Kešu"
"Edit My Credit Cards","Labot Manas kredītkartes"
"Pay with PayPal","Maksāt ar PayPal"
"Transaction is cancelled offline.","Transakcija ir noraidīta."
"Braintree Settlement","Braintree norēķini"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Ja nenorādīsiet pārdevēja kontu lai veiktu transakciju, Braintree veiks transakciju izmantojot noklusēto pārdevēja kontu."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Pārliecinieties vai ir ieslēgta Paplašināta Krāpšanas Aizsardzība Jūsu Braintree kontā pie Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Lieto tiešai krāpniecības rīka integrēšanai. Sazinieties ar <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> lai iestatītu Kount kontu."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Pārliecinieties vai ir ieslēgts AVS un /vai CVV Jūsu Braintree kontā pie Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","Ieteicams ieslēgt šo vērtību uz ""PayPal"" katra veikala skatā."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Šai funkcijai jābūt ieslēgtai PayPal pārdevēja kontā. To jāveic PayPal tehniskajā atbalstā."
"Also affects mini-shopping cart.","Iespaido arī mini grozu."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dinamiskie apraksti tiek nosūtīti katrai transakcijai un tie definē kas tiks attēlots klienta kredītkartes atskaitēs attiecīgajam pirkumam.
                            Jo skaidrāks preces apraksts, jo mazāk iespēju ka klients nesaprotot aprakstu pieprasīs atmaksu.
                            Dinamiskie apraksti pēc noklusējuma nav ieslēgti visiem kontiem. Jā notiek kļūda 92203 vai neparādās paredzētie apraksti,
                            sazinieties ar <a href=""mailto:support@getbraintree.com"">Braintree atbalstu</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Kompānijas nosaukuma lauks klienta paziņojumā. Kompānijas nosaukumam/DBA sadaļai jābūt 3, 7 vai 12 simboliem
                                un produkta apraksts attiecīgi var būt līdz 18, 14 vai 9 simbolu garš (ieskaitot * starp apraksta nosaukuma 22 simboliem)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Telefona lauks klienta paziņojumā. Telefona numuram jābūt 10-14 simboliem un tas var saturēt tikai ciparus, domuzīmes, iekavas un punktus."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Veikala web adreses lauks klienta paziņojumā. Saitei jābūt 13 simboliem vai īsākai."
"The Payment Token is not available to perform the request.","Pirkuma marķieris nav pieejams lai veiktu pieprasījumu."
"Checkout failed to initialize. Verify and try again.","Pirkuma inicializācija neizdevās. Pārbaudiet un mēģiniet vēlreiz."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Pasūtījums nav veikts. Vispirms piekrītiet veikala noteikumiem un mēģiniet pirkumu veikt vēlreiz."
"Paypal account","Paypal konts"
"Coinbase account","Coinbase konts"
"Europe bank account","Eiropas bankas konts"
"Credit card",Kredītkarte
"Apple pay card","Apple pay karte"
"Android pay card","Android pay karte"
"Authorization expired","Beigusies autorizācija"
Authorizing,Autorizācija
Authorized,Autorizēts
"Gateway rejected","Vārteja noraidīta"
Failed,Neizdevās
"Processor declined","Procesors aizliegts"
Settled,Atrisināts
Settling,Risina
"Submitted for settlement","Nosūtīts risināšanai"
Voided,Anulēts
Unrecognized,Neatpazīts
"Settlement declined","Risinājums noraidīts"
"Settlement pending","Gaida risinājumu"
"Settlement confirmed","Risinājums apstiprināts"
Sale,Pārdošana
Credit,Kredīts
"Vault enabled","Seifs ieslēgts"
"Percent Discount","Procentu atlaide"
"-- Select --","-- Izvēlēties --"
Dynamic,Dinamisks
Fixed,Fiksēta
"Create New Option","Izveidot jaunu opciju"
"Bundle Items","Komplekta produkti"
"Add Products to Option","Pievienot produktus opcijai"
"Delete Option","Dzēst opciju"
"What are you looking for?","Ko Jūs meklējat?"
"Use Default Value","Izmantot noklusēto vērtību"
"There is no defined renderer for ""%1"" option type.","Nav definēts attēlojums ""%1"" opcijas veidam."
"Could not save child: ""%1""","Nevar saglabāt zemāku: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkts ar specifisku artikulu: ""%1"" nesatur opciju: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Zemāks produkts ar specifisku artikulu: ""%1"" jau ir piešķirts produktam: ""%2"""
"Price Range","Cenu diapazons"
"As Low as","Samazināt līdz"
Together,Kopā
Separately,Atsevišķi
"Please specify product option(s).","Norādiet produkta opciju(as)."
"The options you selected are not available.","Izvēlētās opcijas nav pieejamas."
"The required options you selected are not available.","Jūsu izvēlētās nepieciešamās opcijas nav pieejamas."
"Please select all required options.","Izvēlieties visas nepieciešamās opcijas."
"We can't add this item to your shopping cart right now.","Pašlaik nevar pievienot grozma šo produktu."
Percent,Procenti
"We can't save custom-defined options for bundles with dynamic pricing.","Nevar ieslēgt speciāli definētas opcijas komplektiem ar dinamisku cenu."
"Add Selected Products","Pievienot izvēlētos produktus"
"Add Option","Pievienot opciju"
"New Option","Jauna opcija"
"Option Title","Opcijas nosaukums"
"Default Title","Noklusētais nosaukums"
"Store View Title","Saglabāt skata nosaukumu"
"Input Type","Ievades veids"
Drop-down,"Izvēles saraksts"
"Radio Buttons","Radio pogas"
Checkbox,"Izvēles rūtiņa"
"Multiple Select","Izvēlēties vairākus"
Required,Obligāts
"Default Quantity","Noklusētais skaits"
"User Defined","Lietotāja definēts"
"Price Type","Cenas veids"
Quantity:,Skaits:
"Choose a selection...","Izvēlieties atlasi..."
"Ship Bundle Items","Nosūtīt komplekta produktus"
"There are no products in this option.","Nav produktu šai opcijai."
Default,Noklusētais
Ordered,Pasūtīts
Invoiced,"Piestādīts rēķins"
Shipped,Piegādāts
Refunded,Atmaksāts
Canceled,Atcelts
"Regular Price","Parastā cena"
"As low as","Samazināt līdz"
"Buy %1 with %2 discount each","Pērc %1 ar %2 atlaidi katram"
"Go back to product details","Atpakaļ uz produkta detaļām"
"Customize and Add to Cart","Pielāgot un pievienot grozam"
"Your Customization","Jūsu pielāgojumi"
Availability,Pieejamība
"In stock",Noliktavā
"Out of stock","Nav pieejams"
Availability:,Pieejamība:
"Customize %1","Pielāgot %1"
"No options of this product are available.","Šim produktam nav pieejamas opcijas."
"Gift Message","Dāvanas ziņa"
From:,No:
To:,Kam:
Message:,Ziņa:
"Product Name","Produkta nosaukums"
"Discount Amount","Atlaides apjoms"
"Row Total","Kopā rindā"
"Qty Invoiced","Skaits izstādīts rēķinos"
"Qty Shipped","Daudzums, kas nosūtīts"
"Add Products to New Option","Pievienot produktus jaunai opcijai"
"Add Products to Option ""%1""","Pievienot produkts opcijai: ""%1"""
"""option_id"" and ""parent_id"" values should be specified","jānorāda ""option_id"" un ""parent_id"" vērtības"
"""sku"" value should be specified","jānorāda ""sku"" vērtība"
Always,Vienmēr
"After number of attempts to login","Pēc noteikta pieslēgšanās mēģinājumu skaita"
"Provided form does not exist","Piedāvātā forma nepastāv"
"Incorrect CAPTCHA","Kļūdains CAPTCHA"
"Incorrect CAPTCHA.","Kļūdains CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Konts ir bloķēts. Mēģiniet vēlāk vēlreiz vai sazinieties ar %1."
"Please enter the letters and numbers from the image","Ievadiet simbolus no attēla"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uzmanību</strong>: Captcha ir reģistrjūtīgs."
"Reload captcha","Pārlēdēt captcha"
"Please type the letters and numbers below","Ievadiet zemāk esošos burtus un ciparus"
"Attention: Captcha is case sensitive.","Uzmanību: Captcha ir reģistrjutīgs."
"Enable CAPTCHA in Admin","Ieslēgt CAPTCHA administrācijas panelim"
Font,Fonts
Forms,Formas
"Displaying Mode","Attēlošanas veids"
"Number of Unsuccessful Attempts to Login","Neveiksmīgu pieslēgšanos skaits"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ja ir norādīts 0, Tad CAPTCHA Pieslēgšanās formā būs vienmēr pieejama."
"CAPTCHA Timeout (minutes)","CAPTCHA taimauts (minūtes)"
"Number of Symbols","Simbolu skaits"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Norādiet 8 simbolus. Atļauts norādīt apgabalu (piem. 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA lietotie simboli"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Šajā laukā izmantojiet tikai burtus (a-z vai A-Z) vai ciparus (0-9). Atstarpes vai citi simboli nav atļauti. <br /> Līdzīgi simboli (piem. ""i"", ""l"", ""1"") samazina iespēju ka lietotājs tos pareizi atpazīs."
"Case Sensitive",Reģistrjūtīgs
"Enable CAPTCHA on Storefront","Ieslēgt CAPTCHA veikala priekšpusē"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Ja atzīmēts, tad CAPTCHA ir vienmēr ieslēgta priekš ""Izveidot jaunu lietotāju"" un ""Aizmirsta parole"" formām."
Root,Sakne
"Are you sure you want to delete this category?","Vai esat parliecināts/-a, ka vēlaties dzēst šo kategoriju?"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Use All Available Attributes","Izmantot visus pieejamos atribūtus"
"Add Subcategory","Pievienot apakškategoriju"
"Add Root Category","Pievienot saknes kategoriju"
Day,Diena
from,no
to,līdz
[GLOBAL],[GLOBĀLI]
[WEBSITE],[Majaslapa]
"WYSIWYG Editor","WYSIWYG redaktors"
"Add Product","Pievienot produktu"
label,birka
"Product Attributes","Produkta atribūti"
"Add New Attribute","Pievienot Jaunu Atribūtu"
"Save Attribute","Saglabāt atribūtu"
"Save in New Attribute Set","Saglabāt jaunu atribūtu kopu"
"Enter Name for New Attribute Set","Ievadiet nosaukumu jaunai atribūtu kopai"
"Delete Attribute","Dzēst atribūtu"
"Edit Product Attribute ""%1""","Labot produkta atribūtu ""%1"""
"New Product Attribute","Jauns produkta atribūts"
"Advanced Attribute Properties","Papildus atribūta iestatījumi"
"Attribute Code","Atribūta kods"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Tiek lietots iekšpusē. Pārliecinaties ka nelietojat atstarpes vai vairāk kā %1 simbolus."
"Default Value","Noklusētā vērtība"
"Unique Value","Unikāla vērtība"
"Unique Value (not shared with other products)","Unikāla vērtība (nav kopīga ar citiem produktiem)"
"Not shared with other products.","Netiek koplietota ar citiem produktiem."
"Input Validation for Store Owner","Ievades validācija veikala īpašniekam"
"Add to Column Options","Pievienot kolonnai opcijas"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Izvēlieties ""Jā"" lai pievienotu šo atribūtu kolonnas opcijas sarakstā produktu režģī."
"Use in Filter Options","Lietot filtrēšanas opcijās"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Izvēlieties ""Jā"" lai pievienotu šo atribūtu filtru opcijām produktu režģī."
Website,"Mājas lapa"
Global,Globāls
Scope,Apgabals
"Declare attribute value saving scope.","Deklarēt atribūta saglabāšanas vērtības apgabalu."
"Storefront Properties","Veikala priekšpuses iestatījumi"
"Use in Search","Lietot meklēšanā"
"Visible in Advanced Search","Redzmas izvērstā meklēšanā"
"Comparable on Storefront","Salīdzināms veikala priekšpusē"
"Use for Promo Rule Conditions","Lietot priekš promo noteikuma nosacījumiem"
"Allow HTML Tags on Storefront","Atļaut HTML tagus veikala priekšpusē"
"Visible on Catalog Pages on Storefront","Redzams kataloga lapās veikala priekšpusē"
"Used in Product Listing","Izmantots produktu sarakstā"
"Depends on design theme.","Atkarīgs no dizaina tēmas."
"Used for Sorting in Product Listing","Lietojams šķirošanai produktu sarakstā"
"Media Image","Mēdiju attēls"
Gallery,Galerija
"System Properties","Sistēmas iestatījumi"
"Data Type for Saving in Database","Datu veids saglabāšanai datu bāzē"
Text,Teksts
Static,Statisks
"Globally Editable","Globāli labojams"
"Attribute Information","Atribūta informācija"
Properties,Iestatījumi
"Manage Labels","Pārvaldīt birkas"
Visible,Redzams
Searchable,Meklējams
Comparable,Salīdzināms
"Delete Selected Group","Dzēst izvēlēto grupu"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Jūs vēlaties dzēst visus produktus no šīs atribūtu kopas. Vai vēlaties to darīt?"
"New Set Name","Jauns kopas nosaukums"
"Edit Attribute Set '%1'","Rediģēt atribūtu kopu ""%1"""
Empty,Tukšs
"Add Attribute","Pievienot atribūtu"
"Add New Group","Pievienot jaunu grupu"
"Add Group","Pievienot grupu"
"For internal use","Iekšējai lietošanai"
"Based On","Pamatojoties uz"
"Edit Attribute Set Name","Labot atribūtu kopas nosaukumu"
"Add New Attribute Set","Pievienotu jaunu atribūtu kopu"
"Add Attribute Set","Pievienot atribūtu kopu"
"Attribute Sets","Atribūtu kopas"
"Close Window","Aizvērt logu"
"New Product","Jauns produkts"
"Save & Edit","Saglabāt & Labot"
"Save & New","Saglabāt & Jauns"
"Save & Duplicate","Saglabāt & Duplicēt"
"Save & Close","Saglabāt & Aizvērt"
Change,Mainīt
"Advanced Inventory","Paplašināta noliktava"
Websites,"Mājas lapas"
"Products Information","Produktu informācija"
